Household Id,Household size,No. of children,Own home?,Size of home (sq. ft),Employement status,Annual household income (USD),Vehicles owned,UIN,Full name,Date of birth,Account number,Phone number,Email id,Address,Disability status,Immigration status,Token ID,Gender
9678024441,6,2,no,1296,employed_fulltime,5001_10000,two_wheeler,7982152123,Alhaji Ahmadu Sulaiman Bah,05-06-1981,1911796945,+745 6565366814,alhaji@myland.com,"162 Bates Village Apt. 142 Kyleville, ND 37070",not_disabled,non_immigrant,629462017305691822143540478432116852,Female
2320644448,2,1,yes,1722,unemployed,0_5000,bicycle,6253958745,Milton Margai,05-03-1952,3625521599,+745 3339075938,milton@myland.com,"231 Greg Estates New Jacqueline, SD 09838",not_disabled,non_immigrant,722494656432951287459976472734137669,Male
5663799872,8,5,no,842,employed_fulltime,0_5000,two_wheeler,5272537372,Albert Margai,20-08-1977,7118541128,+745 9605681433,albert@myland.com,"70069 Smith Extension East Williamborough, MP 28857",not_disabled,non_immigrant,338074663399914600202728375248968242,Male
3220864207,9,2,yes,685,employed_parttime,0_5000,bicycle,7761293169,Mohamed Sorie Fornah,18-11-1991,1418191517,+745 1080175897,mohamed@myland.com,"7374 Sara Throughway Jenniferfurt, ND 08559",not_disabled,non_immigrant,038767520519172643109417658750232832,Female
5781709453,6,0,no,1213,self_employed,0_5000,bicycle,5496614473,John Karefa-Smart,28-07-2004,7337416537,+745 1226439521,john@myland.com,Unit 9796 Box 4889 DPO AA 91587,not_disabled,non_immigrant,811414996492392737284861760962564912,Male
1078216259,2,1,yes,1483,unemployed,0_5000,bicycle,7335484654,Christiana Thorpe,21-12-1956,9991623278,+745 5067376354,christiana@myland.com,"759 Sparks Unions Timothyberg, AK 60417",not_disabled,non_immigrant,063228964127592799481417083156903193,Male
8004354233,5,0,yes,1405,employed_fulltime,0_5000,two_wheeler,2334464241,Baimba Kamara,11-12-1986,7949746951,+745 1510389128,baimba@myland.com,"7044 Frank Circles Suite 648 Lake Chadton, AK 36541",not_disabled,non_immigrant,513383643810660656119107535780954667,Female
3001542091,7,6,yes,152,employed_parttime,0_5000,two_wheeler,3578181359,Abdul Karim Bangura,07-01-1938,6796296387,+745 6353355554,abdul@myland.com,"49146 Sabrina Street South Loriport, KS 37719",not_disabled,non_immigrant,659604490536872354540844021131877508,Male
5263115842,8,0,no,440,self_employed,0_5000,bicycle,8818863223,Isha Johansen,21-06-1969,7563737641,+745 2276660769,isha@myland.com,"81100 David Brooks Suite 467 Georgeport, MA 76629",not_disabled,non_immigrant,896358494033367194750498858357542144,Female
1023535291,4,1,yes,285,employed_parttime,0_5000,two_wheeler,6188743995,Alimamy Petito Koroma,02-06-1979,4298559226,+745 3934001023,alimamy@myland.com,"527 Jones Drives Port Joseph, MI 90756",not_disabled,non_immigrant,420589995489121415169895466619932223,Male
3636091152,5,4,no,1580,employed_fulltime,0_5000,two_wheeler,8963932734,Zainab Bangura,19-05-1978,2969289482,+745 7764961391,zainab@myland.com,"6145 Lane Prairie Timothyland, FL 38023",disabled,non_immigrant,689002274297750673922106259664253170,Female
3647389156,4,1,no,1591,self_employed,5001_10000,four_wheeler,9815547165,Mohamed Kallon,28-07-1970,3779235714,+745 6659354948,mohamed@myland.com,"56065 Amanda Crest Suite 844 Port Jenniferfurt, OK 79233",not_disabled,non_immigrant,995915480882691443995848222132824964,Female
3843659566,8,4,no,1050,employed_parttime,0_5000,bicycle,1637543589,Karamoh Kabba,20-04-1991,5868215433,+745 1592081498,karamoh@myland.com,"042 Paul Port Apt. 885 Nathanland, TN 37743",not_disabled,non_immigrant,729742643327024306742125949195364721,Male
7556192868,4,3,yes,117,employed_parttime,5001_10000,two_wheeler,2713629347,Thomas Sankara,11-03-1989,4962289355,+745 3533884401,thomas@myland.com,"1064 Bradley Flats Ramirezburgh, OK 91142",not_disabled,non_immigrant,321693882448198862969401561640584757,Female
7794723634,8,5,no,722,employed_parttime,0_5000,bicycle,9899412139,Mahamadi Kouanda,11-05-1971,3987797926,+745 5606389190,mahamadi@myland.com,USCGC Mccall FPO AA 53757,not_disabled,non_immigrant,486632379671110642299309907342053392,Male
4809525594,6,4,yes,83,unemployed,0_5000,two_wheeler,2476236721,Joseph Ki-Zerbo,27-12-1954,2419489396,+745 1160520927,joseph@myland.com,"33453 Matthew Mews Suite 137 New Michaelland, MP 78628",not_disabled,non_immigrant,678988324499443183945619050690453344,Male
9716998955,8,5,yes,1294,employed_parttime,0_5000,two_wheeler,9945265881,Norbert Zongo,02-03-1930,2458261682,+745 8488481199,norbert@myland.com,"34193 Christopher Well Apt. 205 Wardville, AS 58524",not_disabled,non_immigrant,102740992908571077180215197287902084,Female
1007463746,5,3,yes,99,unemployed,0_5000,two_wheeler,9489156128,Bado Oumar Idrissa,02-08-1980,2975695758,+745 3191364230,bado@myland.com,"0415 Johnson Plains Suite 593 Lake Jameschester, CA 26998",not_disabled,non_immigrant,698648840296078400021842807636121994,Female
5223467863,3,2,no,146,employed_parttime,0_5000,two_wheeler,2974977718,Luc-Adolphe Tiao,30-04-1986,5448538741,+745 6084024878,luc-adolphe@myland.com,"PSC 8886, Box 0081 APO AA 98579",not_disabled,non_immigrant,295487670395829552151344094392048339,Male
9467053021,7,6,yes,945,employed_parttime,5001_10000,three_wheeler,1824424534,Salif Diallo,11-01-2002,4713697361,+745 5624773489,salif@myland.com,"891 Lewis Ramp Apt. 568 North Matthewview, NE 26136",not_disabled,non_immigrant,726669935398915307969173952766246945,Female
8982799989,9,5,yes,1286,employed_parttime,0_5000,two_wheeler,1426239335,Idrissa Nassa,11-11-1994,7125798551,+745 9945824841,idrissa@myland.com,"570 Aaron Road Suite 286 North Kenneth, AR 70096",not_disabled,non_immigrant,203018076101212600723860967717254192,Male
2740259744,3,1,no,1104,employed_parttime,5001_10000,two_wheeler,3819494816,Rosine Sory-Coulibaly,29-06-1961,4192538764,+745 5126135330,rosine@myland.com,"90972 Winters Avenue Suite 096 Brownfort, PR 35229",not_disabled,non_immigrant,742769225778036386259351623167732596,Male
2251974257,5,0,no,245,employed_fulltime,0_5000,two_wheeler,4741591733,Alpha Yago,07-12-1944,6566934857,+745 7506528593,alpha@myland.com,"05504 Mark Rue Suite 743 New Jeanettetown, WA 60879",not_disabled,non_immigrant,236572593035529942547514331392498186,Male
1778827580,5,3,yes,85,self_employed,0_5000,bicycle,6446386215,Fatimata Ouattara,04-01-1995,8277491387,+745 4132074804,fatimata@myland.com,Unit 1249 Box 3175 DPO AP 47451,not_disabled,non_immigrant,077483092327356002260519266483641839,Female
7674292460,5,0,yes,590,self_employed,5001_10000,four_wheeler,2656242424,Cellou Dalein Diallo,15-11-1935,9551542364,+745 9930448105,cellou@myland.com,"44020 Amber Hill Apt. 842 Lake Glenn, OH 86656",not_disabled,non_immigrant,827804332273769598653364929545715054,Male
4436431125,8,6,no,242,employed_fulltime,0_5000,two_wheeler,5362852953,Alpha Yaya Diallo,20-05-2004,9776679675,+745 1153692965,alpha@myland.com,"285 Castro Springs Rodriguezberg, FL 23204",not_disabled,non_immigrant,977744196496356359920364765647862475,Female
3317022561,7,1,no,505,employed_parttime,5001_10000,four_wheeler,3193711263,Kabinet Fofana,05-10-1975,4383254593,+745 9381420656,kabinet@myland.com,"43751 Wilson Ranch Garciafort, TX 93671",disabled,non_immigrant,092495536091097986537081615988517964,Female
5281022408,7,5,yes,1071,employed_parttime,10000_plus,three_wheeler,7316827916,Mamadi Doumbouya,30-05-1943,9348722185,+745 6429978446,mamadi@myland.com,"PSC 6315, Box 6307 APO AP 86894",not_disabled,non_immigrant,665090023914090660398558698791354154,Female
7418613782,6,0,no,558,employed_parttime,5001_10000,four_wheeler,1319536838,Louis Lansana Beavogui,10-05-1955,2421747627,+745 9978822216,louis@myland.com,"94054 Alexander Via Suite 997 Debraborough, ID 92482",not_disabled,non_immigrant,393001624773819037428272290829841202,Female
9545967708,9,8,no,691,self_employed,5001_10000,two_wheeler,5889377419,Abdoulaye Keita,05-03-1951,2121323243,+745 7755835081,abdoulaye@myland.com,Unit 6895 Box 0533 DPO AA 53260,not_disabled,non_immigrant,231357247805047970956729553140616570,Female
2713206660,8,6,no,787,others,0_5000,two_wheeler,8749685895,Alhassane Bangoura,05-09-2003,6858418612,+745 5203173132,alhassane@myland.com,"9905 Atkins Crest Apt. 353 Williamsborough, AR 17424",not_disabled,non_immigrant,300230697330257904015491763967726633,Female
2826504911,3,2,no,808,employed_fulltime,5001_10000,three_wheeler,1664177211,Boubacar Diallo,01-12-1930,3922585683,+745 7229452836,boubacar@myland.com,"271 Susan Loaf Suite 218 Lake Melissabury, DE 19464",not_disabled,non_immigrant,333646588701089910973871285283655908,Male
9109609029,5,2,yes,1740,unemployed,5001_10000,two_wheeler,7648292894,Kaba Camara,14-02-1999,4613215788,+745 9784049263,kaba@myland.com,Unit 8666 Box 8233 DPO AP 53840,not_disabled,non_immigrant,059881657145826983414975082377716706,Male
8259179395,10,7,yes,460,employed_parttime,0_5000,bicycle,4126251928,Karamo Alpha Gadiaga,17-07-2002,8329817483,+745 1011634394,karamo@myland.com,"611 Jason Fords Cruzfort, MP 69887",disabled,non_immigrant,225561380547745926997827668850838590,Female
2037589978,2,0,no,1171,employed_fulltime,0_5000,two_wheeler,6876877736,Kerfalla Camara,10-01-1972,3976151111,+745 5091081735,kerfalla@myland.com,"444 Jose Islands Andreaburgh, FL 71250",disabled,non_immigrant,611905752203886146594153994147405434,Male
