Household Id,Household size,No. of children,Own home?,Size of home (sq. ft),Employement status,Annual household income (USD),Vehicles owned,UIN,Full name,Date of birth,Account number,Phone number,Email id,Address,Disability status,Immigration status,Token ID,Gender
9963403421,5,3,yes,292,employed_fulltime,0_5000,two_wheeler,6678351775,Miguel Rodriguez,04-03-1936,8598277122,+745 4751151222,miguel@myland.com,"599 Clements Street Carterport, TN 05278",not_disabled,non_immigrant,667897074336572487401694874823241543,Male
8681941066,8,3,yes,1022,employed_parttime,0_5000,bicycle,7279622516,Ana Isabel Fernandez,18-05-1942,6147331141,+745 3884244853,ana@myland.com,"671 Anthony Pine Suite 315 Port Rebecca, KS 27420",not_disabled,non_immigrant,482239458780851645235646735030501705,Female
8034431233,2,0,yes,633,employed_parttime,0_5000,two_wheeler,9513724339,John Michael Ramos,20-07-1979,3623598968,+745 2196211347,john@myland.com,"7815 Cook Prairie Suite 272 Saraton, PW 33198",not_disabled,non_immigrant,354978330366671606369117366617433343,Male
1687569339,9,6,no,765,self_employed,0_5000,two_wheeler,7757811424,Maria Theresa Gutierrez,18-07-1980,3377875728,+745 2140395187,maria@myland.com,"153 Dylan Meadows Apt. 994 East Davidshire, NC 78959",not_disabled,non_immigrant,499647728490457580821022093469529740,Female
4495111648,10,4,no,711,self_employed,5001_10000,three_wheeler,2138353612,Luis Antonio Hernandez,12-10-1984,8951253591,+745 3511369259,luis@myland.com,"35123 Reed Village Dianaborough, NV 65145",not_disabled,non_immigrant,070110109129734449638966169556322805,Female
9771668636,5,2,no,1669,others,5001_10000,four_wheeler,4419977766,Ma. Concepcion Reyes,11-01-1964,7122873198,+745 7429153406,ma.@myland.com,"48412 Bryan Motorway West Alexismouth, PR 01200",not_disabled,non_immigrant,201270333837489622814410825685956336,Female
9492352112,9,0,yes,1530,self_employed,0_5000,two_wheeler,4528781976,Carlo Jose Martinez,16-04-1956,7257211622,+745 9690586905,carlo@myland.com,"415 Todd Rapid Apt. 751 East Michelle, MT 70041",not_disabled,non_immigrant,277337682995863698141428769303449949,Male
1847191316,3,2,no,1276,employed_parttime,5001_10000,two_wheeler,5288534752,Marjorie Lim,29-07-1996,9861732941,+745 5029057453,marjorie@myland.com,"5989 Burton Turnpike Apt. 833 Raymondberg, OR 23753",not_disabled,non_immigrant,551123879821214013007647198532760376,Male
5522754584,5,4,no,1682,employed_fulltime,5001_10000,two_wheeler,1334945983,Carlo Miguel Castillo,03-08-1965,9175476371,+745 5328572168,carlo@myland.com,"3113 Dustin Walks Harrismouth, AS 44622",not_disabled,non_immigrant,793056161600032685013828234800630217,Male
1209540307,9,2,yes,627,employed_parttime,0_5000,two_wheeler,5826496681,Andrea Gonzalez,29-07-1984,7811925246,+745 9284420561,andrea@myland.com,"632 Gonzalez Grove Suite 366 Kellyville, KY 70621",not_disabled,non_immigrant,816172339482649285086271195995183826,Male
9806312731,5,1,no,395,employed_parttime,0_5000,two_wheeler,6986476957,Rafael Garcia,26-08-1951,9869262196,+745 1150866094,rafael@myland.com,"585 Fernandez Light Roweshire, NH 74102",not_disabled,non_immigrant,874024881371259511205591095742173156,Male
4971811981,9,6,no,1232,employed_fulltime,0_5000,two_wheeler,3538853474,Maria Isabel Rodriguez,12-01-1964,5998552613,+745 1291563603,maria@myland.com,"22821 Monique Viaduct North Melaniebury, CT 22946",not_disabled,non_immigrant,818864608578696131501704451028595630,Male
1912501794,6,1,yes,1612,self_employed,0_5000,two_wheeler,1275246866,Luis Miguel Perez,21-02-1978,6458998482,+745 9980975996,luis@myland.com,"272 Andrews Grove Comptonchester, AR 10402",not_disabled,non_immigrant,320932498146444711697935458077270036,Female
3634347234,8,3,yes,1249,employed_parttime,5001_10000,three_wheeler,1768251395,Ana Maria Dela Cruz,03-07-1955,2612561929,+745 3732026514,ana@myland.com,"PSC 0338, Box 6241 APO AA 76340",not_disabled,non_immigrant,813154692639750240138234512609191730,Female
7315981626,5,0,yes,1320,employed_fulltime,5001_10000,three_wheeler,8825939746,Juanito Santos,29-04-1983,6588188166,+745 3694971935,juanito@myland.com,Unit 7102 Box 3798 DPO AA 78404,not_disabled,non_immigrant,491991503810381592347559983257417456,Female
5462753323,6,2,yes,433,unemployed,0_5000,bicycle,6282121933,Fatima Zahra,21-01-2003,3758233976,+745 9176977469,fatima@myland.com,"1534 Alexander Lodge Derrickport, NH 70944",not_disabled,non_immigrant,174025185663706523188958976076965122,Female
5471907425,8,4,no,1093,employed_fulltime,0_5000,two_wheeler,8954292232,Mohammed Ali,13-11-1968,1619691555,+745 7882102261,mohammed@myland.com,"187 Hernandez Dam Apt. 929 Tatemouth, VT 24960",not_disabled,non_immigrant,396643478553378245772400792781382633,Female
6707151933,7,4,yes,1354,employed_fulltime,5001_10000,three_wheeler,6925819972,Samira El Aissami,14-01-1970,8246815724,+745 9013578465,samira@myland.com,"PSC 7293, Box 6815 APO AE 99873",not_disabled,non_immigrant,745681202102861917381006254605029941,Male
